eruption;distance;TADR
2014;2033.83;6.71
fev 2015;2105.12;1.63
mai 2015;4603.76;27.95
juil 2015;2612.53;19.95
aout 2015;5058.88;47.94
mai 2016;2020.60;1.59
sept 2016;4797.05;29.74
janv 2017;3738.39;9.14
juill 2017;3061.18;20.73
avril 2018;5214.05;16.00
juil 2018;1058.15;3.72
sept 2018;6307.42;30.01
fev 2019 pulse 1;2206.69;11.00
fev 2019;3771.41;11.00
juin 2019 bras central;2109.09;16.81
juin 2019 bras sup;2652.25;16.81
juil 2019;766.63;5.00
aout 2019;2875.40;13.82
oct 2019;3723.71;12.79
fev 2020 bras central;2177.92;12.5
fev 2020 bras inf;3017.26;12.5
avril 2020 pulse 1;3575.26;30.00
avril 2020 final;5395.09;30.00
dec 2020;2434.70;15.8
avril 2021 pulse 1;2007.15;22.5
avril 2021 final;5940.34;22.5
dec 2021 pulse 1;3046.22;7.28
dec 2021 final;6675.12;7.28
sept 2022 pulse 1;2987.13;9.24
sept 2022;3774.97;9.24
juil 2023;4318.64;26.86
