x	y	z	L	slope
366915.0	7649735.0	2468.445068	0.0	22.922414
366922.876409	7649729.124432	2464.289798	9.826501	20.598199
366930.450191	7649722.782063	2461.039333	19.705155	18.01861
366938.829024	7649718.033877	2457.944022	29.335841	20.396444
366946.14098	7649711.66995	2453.854322	39.029358	18.786865
366952.68243	7649704.314514	2451.298313	48.872783	19.643661
366958.870322	7649696.552777	2446.797829	58.79924	22.287813
366965.809496	7649689.385202	2443.140815	68.775526	21.107186
366972.678107	7649682.256864	2439.125963	78.674568	21.135613
366975.0	7649673.189126	2435.695741	88.034859	14.7803
366976.810874	7649665.0	2434.44361	96.421816	13.212391
366986.280481	7649663.719519	2431.483343	105.977605	20.841047
366994.523602	7649658.620896	2427.116315	115.670128	27.046874
367002.86266	7649653.265517	2421.475188	125.580727	27.472429
367011.299941	7649647.916369	2416.769218	135.570777	24.28387
367019.488359	7649642.257545	2412.477381	145.524292	24.171905
367027.810081	7649636.979619	2407.879194	155.378609	24.864721
367036.268827	7649631.783812	2403.310274	165.305683	24.695223
367045.660494	7649628.462383	2398.733699	175.267374	26.470009
367054.358232	7649623.812766	2393.439569	185.129909	24.896772
367062.086087	7649617.913913	2389.644533	194.851853	22.379369
367069.324123	7649611.01684	2385.320191	204.849793	22.359537
367078.572698	7649607.616987	2381.478947	214.703479	24.931678
367088.160442	7649605.065172	2376.127861	224.625001	28.804294
367095.604992	7649598.50186	2370.566876	234.549636	28.570666
367101.854472	7649590.787411	2365.317316	244.477815	25.235244
367109.670793	7649584.829339	2361.255696	254.306014	24.235487
367116.135933	7649577.530017	2356.503878	264.056815	25.935523
367122.113311	7649569.633177	2351.697101	273.96081	27.76281
367129.219965	7649562.733259	2346.076451	283.866032	29.612192
367136.003191	7649555.445374	2340.409066	293.822207	27.865957
367143.422929	7649548.818675	2335.553157	303.770355	25.332837
367151.926559	7649543.863803	2331.040802	313.612229	25.740412
367161.406453	7649540.859022	2326.01365	323.55693	26.266918
367170.839097	7649538.493301	2321.333995	333.281714	25.692965
367178.79257	7649532.49243	2316.541692	343.245056	27.926611
367187.253152	7649527.189397	2310.760303	353.230226	24.738868
367195.880163	7649522.272	2307.365644	363.160287	22.777704
367203.895389	7649516.500089	2302.443445	373.037473	29.734893
367210.719799	7649509.270308	2296.04541	382.97942	32.107938
367218.535272	7649503.255319	2290.017	392.841555	25.545416
367225.199827	7649496.177416	2286.685616	402.563335	21.148377
367233.666419	7649491.333581	2282.48316	412.317612	25.421974
367242.479289	7649487.520711	2277.485637	421.919937	27.624156
367247.673635	7649479.188616	2272.320066	431.738544	23.295144
367251.131119	7649470.102764	2269.072593	441.46001	18.544762
367255.0	7649461.856704	2266.003467	450.568563	15.361258
367255.0	7649451.856704	2263.823282	460.568563	15.708025
367257.200804	7649442.177476	2260.399606	470.494841	21.433393
367260.0	7649432.820452	2256.092676	480.261591	17.966825
367261.541173	7649423.458827	2254.155996	489.749227	13.021772
367265.076707	7649414.923293	2251.761975	498.988022	17.918404
367270.0	7649406.962587	2248.142305	508.348131	20.151407
367271.794539	7649397.167295	2244.673001	518.306451	20.28519
367275.0	7649388.062505	2240.89401	527.959025	21.034515
367279.90555	7649380.09445	2237.362986	537.316071	13.938164
367280.0	7649370.133573	2236.099686	547.277396	13.63424
367283.441084	7649361.558916	2232.705846	556.516757	19.922507
367286.625724	7649352.726004	2229.348079	565.906233	21.81607
367293.326781	7649345.972782	2225.139217	575.419917	17.802558
367295.0	7649337.131398	2223.403801	584.418235	18.275342
367300.247473	7649329.471803	2219.10161	593.70292	15.18892
367306.70012	7649323.29988	2218.459153	602.632046	6.048155
367311.255893	7649314.893668	2217.142527	612.193398	16.417375
367317.590562	7649307.409438	2212.753065	621.998587	21.534134
367321.034645	7649298.789343	2209.610729	631.281246	19.256183
367326.538374	7649290.566038	2206.05377	641.176385	20.440874
367327.165615	7649280.896709	2202.311538	650.866036	22.336498
367325.0	7649271.169879	2197.978446	660.831031	22.545592
