x	y	z	L	slope
370249.5	7646680.5	1457.727539	0.0	17.993711
370252.541502	7646676.531466	1456.103599	5.0	18.338325
370256.649674	7646674.161235	1454.498255	9.742897	17.386551
370260.067224	7646670.855042	1453.129662	14.497953	19.480597
370264.141699	7646667.987694	1451.053907	19.480224	24.141435
370268.437889	7646665.431427	1448.656229	24.479399	26.205057
370272.968368	7646663.322091	1446.134027	29.476853	24.910172
370277.600748	7646661.4414	1444.013752	34.476447	22.031347
370282.399546	7646660.306596	1442.115556	39.407598	21.024435
370287.385872	7646659.937103	1440.196805	44.407594	21.656351
370292.160894	7646658.863125	1438.186989	49.301903	23.140457
370296.457413	7646656.341466	1435.97616	54.283755	22.206777
370300.637341	7646653.71834	1434.138829	59.218589	17.494422
370304.319311	7646650.343789	1432.84663	64.213036	14.81941
370307.355105	7646646.379256	1431.4964	69.206388	11.948778
370310.264206	7646642.360626	1430.740115	74.167462	11.385338
370314.072063	7646639.12032	1429.490621	79.167398	14.130122
370317.700617	7646635.681549	1428.223006	84.166552	15.548036
370319.950061	7646631.253072	1426.717839	89.133585	15.244565
370322.819077	7646627.180923	1425.511868	94.114915	14.277451
370326.82566	7646624.28737	1424.192599	99.057116	17.616923
370329.676403	7646620.702483	1422.488187	103.637307	14.280763
370331.028614	7646615.923893	1421.762735	108.603533	11.601064
370335.787208	7646615.5	1420.487972	113.38097	14.849911
370340.362612	7646614.544592	1419.256801	118.055061	13.494081
370343.713324	7646610.833429	1418.166556	123.055061	12.681815
370348.271345	7646608.982651	1417.024734	127.974506	14.607245
370353.121403	7646607.868622	1415.587636	132.950862	17.336379
370357.996739	7646607.019709	1413.926608	137.899554	15.963786
370362.417897	7646605.5	1412.834738	142.574611	12.782513
370367.417897	7646605.5	1411.731661	147.574611	12.071939
370371.935938	7646603.893659	1410.739931	152.369715	11.862866
370376.345441	7646601.782004	1409.697506	157.258765	12.837907
370381.331874	7646602.144978	1408.486466	162.258391	12.198875
370386.268099	7646602.913953	1407.536698	167.254153	11.974112
370391.121898	7646602.006732	1406.379765	172.192009	14.224657
