x	y	z	L	slope
365214.5	7648810.5	2186.462402	0.0	3.437778
365213.372955	7648806.627045	2186.2201	4.03361	3.983216
365212.891715	7648802.497492	2185.892052	8.191109	5.025332
365210.360788	7648798.190286	2185.415239	13.186869	7.531817
365206.294968	7648795.948086	2184.617665	17.829967	8.884877
365201.864385	7648793.782581	2183.918535	22.761445	7.360259
365197.656659	7648791.224257	2183.344595	27.685871	7.659162
365195.735848	7648786.764888	2182.603379	32.54133	5.262176
365193.753051	7648782.18291	2182.437602	37.533926	6.628102
365192.99378	7648778.13089	2181.544222	41.656469	9.345423
365191.062165	7648773.887422	2180.991901	46.318889	4.929159
365194.169684	7648770.018943	2180.714206	51.280924	4.349493
365194.187622	7648765.187622	2180.247046	56.112279	6.353673
365190.652088	7648761.652088	2179.619523	61.112279	7.153672
365186.350937	7648759.297906	2179.004144	66.015551	6.959136
365181.659304	7648757.659304	2178.414476	70.985101	8.619803
365179.330839	7648753.561082	2177.536339	75.698611	10.528653
365179.109222	7648748.573175	2176.610546	80.691439	9.654465
365178.338083	7648744.338083	2175.954731	84.996164	9.30093
365174.802549	7648740.802549	2175.086729	89.996164	9.60266
365170.070594	7648739.370748	2174.272433	94.939994	7.702911
365165.903287	7648736.650591	2173.744973	99.916509	7.010485
365161.92284	7648733.639135	2173.046727	104.907784	10.164593
365158.069384	7648730.462475	2171.954757	109.90181	14.221113
365154.17464	7648727.339451	2170.51598	114.894035	14.467007
365149.681353	7648725.165883	2169.379029	119.88543	10.739222
365145.078173	7648723.231026	2168.622331	124.878719	6.968414
365140.99895	7648720.470349	2168.166731	129.804305	4.865831
365136.024	7648719.976689	2167.777448	134.803688	4.508427
365131.182839	7648718.883318	2167.381216	139.766781	5.031927
365126.733733	7648716.65747	2166.902438	144.741613	6.264272
365122.982388	7648713.487426	2166.296038	149.653004	6.193321
365118.822321	7648710.723089	2165.827485	154.647773	4.738946
365114.954906	7648707.555632	2165.467589	159.646741	4.563039
365113.524201	7648702.87827	2165.038179	164.538022	7.523594
365112.44751	7648698.275087	2164.19727	169.265449	9.672495
365109.4773	7648694.309902	2163.388088	174.219723	7.796607
365108.848665	7648689.355877	2162.835201	179.213474	5.187535
365106.72194	7648685.373874	2162.524895	183.727819	3.42396
365101.807509	7648684.475352	2162.266214	188.723715	4.086504
365097.155486	7648682.693329	2161.812078	193.705373	7.699265
365092.916845	7648680.285549	2160.93374	198.580153	8.826582
365088.51026	7648678.458876	2160.31442	203.350345	4.473809
365084.817257	7648675.5	2160.190282	208.082492	1.688327
365079.817257	7648675.5	2160.02757	213.082492	1.266334
365076.1888	7648672.1888	2159.971176	217.994695	1.282025
365071.888324	7648670.5	2159.814248	222.614884	3.878432
365066.888324	7648670.5	2159.318995	227.614884	6.348828
365062.653267	7648672.346733	2158.743902	232.235072	6.654633
365059.117733	7648675.117733	2158.255899	236.727113	7.868724
365055.582199	7648671.582199	2157.432092	241.727113	9.875513
365051.197459	7648669.43655	2156.535692	246.608687	8.809647
365046.551805	7648670.5	2155.936979	251.374505	7.621263
365041.551805	7648670.5	2155.229004	256.374505	7.646307
365036.551805	7648670.5	2154.594507	261.374505	5.333893
365031.551805	7648670.5	2154.295393	266.374505	3.83913
365027.415311	7648672.584689	2153.948154	271.006622	5.336337
365023.879777	7648674.879777	2153.469022	275.221765	5.479462
365020.344243	7648671.344243	2153.064197	280.221765	3.979169
365015.693941	7648670.5	2152.792465	284.948081	2.842708
365011.80871	7648667.80871	2152.594837	289.674397	2.582532
365008.719756	7648663.95035	2152.356372	294.616924	4.093273
365006.731544	7648659.383924	2151.884739	299.597409	6.785743
365004.389675	7648655.162748	2151.189377	304.424694	9.839645
365002.501261	7648650.57175	2150.186527	309.388903	7.872857
364999.206359	7648646.837076	2149.814294	314.369281	4.689315
364997.151347	7648643.151347	2149.431875	318.589194	6.400925
364994.5	7648639.249571	2148.811701	323.306556	7.889045
364993.555698	7648634.680326	2148.131721	327.972358	6.391132
364989.779783	7648631.402756	2147.729055	332.972358	3.170815
364985.591352	7648629.806938	2147.606447	337.454499	3.635628
364984.5	7648625.7218	2147.175612	341.682903	5.230606
364981.121302	7648622.121302	2146.76737	346.62043	4.591544
364979.5	7648617.792868	2146.407904	351.242548	4.254674
364979.5	7648612.792868	2146.051555	356.242548	5.154164
364981.414232	7648608.585768	2145.540009	360.864665	6.949659
364984.5	7648604.863936	2144.898876	365.699332	8.046531
364984.5	7648599.863936	2144.149733	370.699332	6.507381
364984.5	7648594.863936	2143.758249	375.699332	2.762357
364984.050235	7648590.050235	2143.675228	380.533999	0.587257
364980.514701	7648586.514701	2143.657447	385.533999	0.303066
364979.5	7648581.935003	2143.62397	390.224761	-0.341469
364976.979167	7648577.979167	2143.713358	394.915522	-0.942915
