x	y	z	L	slope
366694.0	7647349.9999	1944.26001	0.0	4.91471
366699.0	7647349.9999	1943.830078	5.0	6.291857
366704.0	7647349.9999	1943.157471	10.0	6.620137
366707.77537	7647346.721702	1942.669512	15.0	4.743086
366712.07791	7647344.9999	1942.358119	19.634269	3.905294
366717.07791	7647344.9999	1942.011838	24.634269	4.683587
366721.176411	7647342.823489	1941.568327	29.274795	4.817734
366724.0	7647338.993058	1941.21966	34.033456	1.853893
366724.711945	7647334.287955	1941.260281	38.792117	2.012904
366728.247479	7647330.752421	1940.87669	43.792117	2.850203
366729.0	7647326.064126	1940.774962	48.540423	2.360011
366732.935774	7647324.9999	1940.512976	52.617541	4.065141
366737.935774	7647324.9999	1940.129875	57.617541	3.141631
366739.0	7647321.064126	1940.014776	61.69466	0.867904
366739.0	7647316.064126	1939.992371	66.69466	2.756658
366742.877609	7647314.325756	1939.569429	70.944104	7.068573
366747.760035	7647313.303593	1938.846931	75.93238	7.329349
366751.661899	7647310.242479	1938.28997	80.891711	6.252633
366754.0	7647306.850525	1937.852221	85.011428	4.554257
366754.0	7647301.850525	1937.563564	90.011428	3.555561
366754.0	7647296.850525	1937.230879	95.011428	4.62671
366754.0	7647291.850525	1936.754315	100.011428	4.52882
366751.773056	7647287.772956	1936.466858	104.657486	1.98303
366748.34595	7647284.142599	1936.420599	109.649935	0.37811
366748.611713	7647280.388187	1936.409074	113.413742	1.694994
366749.0	7647275.54902	1936.165568	118.268461	2.811097
366749.0	7647270.54902	1935.925199	123.268461	2.529962
366749.0	7647265.54902	1935.723733	128.268461	2.947772
366749.0	7647260.54902	1935.410277	133.268461	3.451938
366748.966202	7647255.549149	1935.120544	138.268447	3.561563
366748.852676	7647250.550508	1934.787889	143.268376	5.400667
366750.052954	7647246.316899	1934.231861	147.668844	9.813895
366753.531456	7647242.726691	1933.162027	152.667801	9.124024
366756.604511	7647239.9999	1932.769224	156.776213	5.814467
366761.579061	7647239.636688	1932.235776	161.764005	4.936248
366764.0	7647236.740573	1932.01245	165.538714	4.184022
366766.304692	7647232.695208	1931.619059	170.194527	6.185067
366769.0	7647228.811641	1930.995629	174.921764	7.99098
366769.840226	7647224.159674	1930.291876	179.649002	8.369488
366773.37576	7647220.62414	1929.564571	184.649002	7.806569
366778.117192	7647219.9999	1928.950759	189.431349	6.14119
366783.117182	7647219.991119	1928.512058	194.431348	4.499279
366784.0	7647215.872056	1928.225849	198.643953	4.138197
366784.0	7647210.872056	1927.845537	203.643953	3.294578
366784.0	7647205.872056	1927.650219	208.643953	3.463614
366786.918826	7647202.081074	1927.253347	213.428417	6.200424
366789.0	7647197.943124	1926.627242	218.060254	9.016392
366789.0	7647192.943124	1925.725035	223.060254	9.885571
366789.0	7647187.943124	1924.88461	228.060254	10.038158
366789.0	7647182.943124	1923.954951	233.060254	11.760362
366789.0	7647177.943124	1922.802783	238.060254	13.574439
366790.607848	7647173.717265	1921.656048	242.581654	14.312538
366794.460073	7647170.537006	1920.374846	247.577021	9.7818
366799.220702	7647169.9999	1919.96893	252.367853	2.371821
366804.15606	7647169.84384	1919.9719	257.305677	1.484505
366807.691594	7647166.308306	1919.711396	262.305677	5.383639
366810.878389	7647162.47169	1919.030707	267.293191	6.309088
366813.563027	7647159.562927	1918.722361	271.251497	3.259985
366810.027493	7647156.027393	1918.520466	276.251497	2.166823
366809.0	7647151.452994	1918.3558	280.939872	2.47561
366809.0	7647146.452994	1918.101607	285.939872	3.783969
366811.508041	7647142.491859	1917.715041	290.628247	4.975779
366814.0	7647138.524062	1917.285522	295.313679	5.724825
366815.043575	7647133.956325	1916.775631	299.999111	6.921614
366818.579109	7647130.420791	1916.109784	304.999111	8.857573
366818.786626	7647125.600301	1915.244583	309.824065	8.820803
366817.953533	7647120.704128	1914.590385	314.790609	6.099286
366813.99836	7647118.324139	1914.220653	319.406639	4.411202
366813.642664	7647113.3603	1913.85041	324.383207	2.777724
366812.656566	7647108.459097	1913.736648	329.382624	2.547433
366814.823902	7647104.9999	1913.446382	333.464705	6.111313
366819.582586	7647104.417314	1912.786301	338.258919	10.05253
366823.11812	7647100.88178	1911.71019	343.258919	13.323962
