x	y	z	L	slope
365004.0	7649544.9999	2272.209961	0.0	13.63044
364999.0	7649544.9999	2270.997559	5.0	12.323998
364995.464466	7649541.464366	2270.025287	10.0	10.045665
364994.0	7649537.070968	2269.291481	14.631048	10.152304
364991.928932	7649532.928832	2268.366781	19.262097	12.219341
364988.147276	7649529.906127	2267.240213	24.103344	10.844855
364983.203072	7649529.249593	2266.483909	29.090947	7.243801
364979.0	7649526.742593	2265.984243	33.984909	5.146917
364976.510027	7649522.89988	2265.630683	38.563819	5.474707
364974.0	7649519.066487	2265.106251	43.145863	7.653169
364974.660022	7649514.339878	2264.373726	47.918333	7.587387
364978.195556	7649510.804344	2263.804553	52.918333	10.219445
364976.26891	7649507.26881	2262.746505	56.944742	13.761709
364973.916259	7649503.210581	2261.669628	61.635603	12.045535
364972.802546	7649498.802446	2260.775397	66.182252	11.450591
364969.267012	7649495.266912	2259.735971	71.182252	13.668143
364966.67612	7649491.034311	2258.352713	76.144876	14.935851
364963.63852	7649487.442991	2257.157568	80.848555	13.336905
364961.208649	7649483.217578	2256.082139	85.722813	12.422922
364957.806645	7649481.193255	2255.211865	89.681539	13.237617
364954.271111	7649484.728789	2253.974747	94.681539	17.397855
364949.518073	7649485.517973	2252.135556	99.499649	10.880713
364947.985395	7649481.014505	2252.134244	104.256783	4.246824
364948.894794	7649476.43632	2251.435721	108.924413	4.292997
364948.736077	7649471.438845	2251.408541	113.924408	1.955783
364945.13097	7649469.9999	2251.132438	117.806078	7.31562
364940.13097	7649469.9999	2250.268346	122.806078	10.922351
364935.13097	7649469.9999	2249.202754	127.806078	9.304917
364930.13097	7649469.9999	2248.629951	132.806078	6.589291
364926.264183	7649467.264083	2248.078052	137.542822	6.746213
364923.729124	7649463.22246	2247.505321	142.313696	6.510896
364922.911603	7649458.911503	2247.032821	146.701484	6.334674
364919.376069	7649455.375969	2246.46318	151.701484	7.379173
364914.601287	7649455.784601	2245.764689	156.493721	8.719228
364909.704562	7649456.617797	2244.966484	161.460825	7.313925
364908.030875	7649459.030775	2244.750277	164.397437	5.847721
364904.495341	7649455.495241	2244.153657	169.397437	7.505573
364901.659952	7649451.410797	2243.436473	174.369571	4.286311
364899.0	7649447.897745	2243.450751	178.77603	3.421078
364897.513552	7649443.513452	2242.896323	183.405452	8.646303
364893.985045	7649439.972646	2241.986708	188.404219	13.470754
364891.833796	7649435.481969	2240.506245	193.383581	15.979714
364890.032487	7649431.032387	2239.186251	198.183945	13.46567
364889.0	7649426.460057	2238.234502	202.8714	12.851046
364886.827586	7649422.205065	2237.027066	207.648883	13.500995
364883.450256	7649418.573725	2235.896841	212.608014	14.107116
364879.535394	7649415.535294	2234.535419	217.563638	15.082956
364875.836553	7649412.172677	2233.214174	222.5625	12.873088
364871.929264	7649409.145827	2232.263517	227.505043	10.562433
364868.332267	7649405.907228	2231.390089	232.345178	8.10392
364866.126893	7649401.453871	2230.866754	237.314692	5.187771
364864.955598	7649396.593923	2230.485045	242.313794	4.727259
364861.954483	7649392.954383	2230.06329	247.031096	5.914949
364858.625812	7649389.268311	2229.481787	251.997703	8.859496
364856.229339	7649384.886652	2228.510729	256.991901	8.416373
364854.715089	7649380.121987	2228.003172	261.9914	4.388455
364854.0	7649375.807238	2227.791429	266.365004	6.887546
364851.03534	7649372.03524	2226.895388	271.162626	11.372065
364848.946338	7649367.878984	2225.890962	275.814334	13.342854
364846.699342	7649364.938184	2224.914357	279.51532	13.191388
364844.0	7649362.559111	2224.180183	283.113436	9.198201
364841.601549	7649359.547264	2223.708275	286.963604	5.081981
364836.909331	7649357.977644	2223.397798	291.911393	1.588837
364834.0	7649355.504657	2223.46513	295.729752	1.972311
364830.821383	7649351.821283	2223.098769	300.595022	5.293521
364829.0	7649347.575725	2222.586339	305.214784	8.634833
364827.285849	7649343.285749	2221.695719	309.834546	11.496945
364823.718986	7649339.786088	2220.630377	314.83156	4.318736
364819.521077	7649337.133015	2220.943341	319.797568	-0.749902
364819.0	7649332.475879	2220.756711	324.483764	4.303804
364819.0	7649327.475879	2220.214407	329.483764	7.483056
364819.0	7649322.475879	2219.443233	334.483764	10.575017
364819.0	7649317.475879	2218.347527	339.483764	12.999529
364819.0	7649312.475879	2217.134709	344.483764	11.835297
364819.0	7649307.475879	2216.252052	349.483764	8.177064
364819.0	7649302.475879	2215.697815	354.483764	7.723191
364817.215248	7649298.215148	2214.947527	359.103199	10.129516
364813.547047	7649294.9999	2214.001093	363.981058	6.51732
364808.937998	7649294.55121	2213.861269	368.611895	0.944384
364807.90364	7649289.9999	2213.847824	373.279263	1.826589
364803.224756	7649289.224656	2213.561184	378.021937	2.858055
364799.689222	7649285.689122	2213.361447	383.021937	2.202127
364799.0	7649280.974608	2213.185713	387.786564	1.824137
364794.977133	7649279.860195	2213.076766	391.960936	1.707667
364794.0	7649275.803983	2212.93688	396.133182	1.888743
364794.0	7649270.803983	2212.774305	401.133182	3.338395
364791.033039	7649267.032939	2212.365343	405.931477	4.458173
364789.0	7649262.875051	2212.03936	410.55979	3.664005
364789.0	7649257.875051	2211.7488	415.55979	5.874781
364789.0	7649252.875051	2211.010439	420.55979	10.207206
364788.287159	7649247.998191	2209.961113	425.488472	10.897315
364786.837199	7649243.223287	2209.100904	430.478671	10.25151
364788.415139	7649239.415039	2208.313122	434.600885	6.371409
364784.879605	7649235.879505	2208.082323	439.600885	6.579998
364786.655929	7649232.343971	2207.279997	443.557566	10.645621
364789.0	7649228.314918	2206.462452	448.218891	9.625966
364790.587645	7649224.435498	2205.778535	452.41061	10.081472
364794.0	7649221.843984	2204.955415	456.695481	8.755563
364794.0	7649216.843984	2204.348577	461.695481	8.404816
364794.0	7649211.843984	2203.477929	466.695481	8.401704
364794.387907	7649206.867914	2202.87295	471.686647	6.000585
364794.785608	7649201.886627	2202.428044	476.683784	5.351426
364796.454171	7649197.545729	2201.969255	481.334322	7.946862
364799.380171	7649193.652865	2201.099077	486.204215	9.537986
364801.643276	7649189.9999	2200.429009	490.501401	6.638539
364805.869078	7649188.130822	2200.061194	495.1221	3.493689
364809.10208	7649184.436871	2199.847223	500.031027	5.247205
364810.021715	7649179.525252	2199.151484	505.027999	9.907363
364810.991181	7649174.622904	2198.101675	510.025287	10.538937
364809.893035	7649170.215637	2197.376826	514.567304	9.460888
364809.171563	7649165.304334	2196.517629	519.531317	7.259557
364807.977393	7649161.022507	2196.17826	523.976548	4.282701
364809.0	7649156.446085	2195.833595	528.66583	3.68554
364809.0	7649151.446085	2195.554156	533.66583	4.968571
364806.487074	7649147.486974	2194.991273	538.355112	8.01333
364803.337154	7649143.673562	2194.197743	543.301232	9.268652
364800.519942	7649139.620955	2193.378676	548.236848	7.220036
364799.0	7649135.405825	2193.004863	552.717646	3.783595
364799.0	7649130.405825	2192.751707	557.717646	3.231053
364802.248502	7649126.751398	2192.446592	562.607185	4.704285
364802.511293	7649122.962913	2192.036862	566.404774	5.556243
364799.166123	7649119.387108	2191.600849	571.301359	3.373273
364796.699507	7649115.068025	2191.455091	576.275157	1.613285
364792.970682	7649111.796483	2191.32106	581.235714	2.044019
364788.770958	7649109.770858	2191.111647	585.898421	3.37631
364785.235425	7649106.235325	2190.751016	590.898421	2.923106
364784.0	7649101.747054	2190.618647	595.553616	0.786876
364784.0	7649096.747054	2190.618411	600.553616	0.468963
364787.080847	7649093.956162	2190.543698	604.710622	1.074102
364789.0	7649090.332282	2190.463594	608.811311	3.822166
364792.300504	7649086.699396	2189.94184	613.719589	7.263353
364795.179642	7649082.686781	2189.208608	618.658264	8.865226
364793.86475	7649078.514717	2188.489291	623.032627	10.061294
364794.0	7649073.642582	2187.567716	627.906639	9.676035
364793.040231	7649069.040131	2186.856697	632.608098	6.58155
364789.504698	7649065.504598	2186.448418	637.608098	3.136311
364789.03519	7649060.713795	2186.318981	642.421852	2.007201
364789.485115	7649055.736885	2186.104588	647.419058	4.365923
364792.621172	7649051.895302	2185.558864	652.378151	6.618418
364794.0	7649047.398665	2184.983498	657.081438	6.132651
364794.0	7649042.398665	2184.51632	662.081438	6.462361
364796.190896	7649038.597616	2183.920233	666.468692	8.418058
