x	y	z	L	slope
365875.0061	7648189.0196	2099.955811	0.0	11.441204
365875.233784	7648184.024787	2098.943922	5.0	11.741104
365875.390825	7648179.036607	2097.879433	9.990651	11.98312
365875.0061	7648174.052052	2096.823615	14.990031	11.149288
365875.567519	7648169.083879	2095.908799	19.989825	9.829329
365876.797946	7648164.261257	2095.095097	24.966936	10.057194
365879.139142	7648159.886558	2094.146127	29.928709	11.982142
365881.605043	7648155.601148	2092.992802	34.872938	12.887012
365883.987348	7648151.205173	2091.871037	39.872936	10.942561
365885.0061	7648146.560255	2091.106763	44.628261	7.233453
365884.688264	7648141.580879	2090.634234	49.61777	4.329466
365884.08491	7648136.617617	2090.350519	54.617571	4.475735
365885.800861	7648132.248911	2089.875498	59.311192	6.544448
365888.455899	7648128.081476	2089.245216	64.252522	7.259238
365889.645069	7648123.765724	2088.67588	68.72911	8.535276
365889.077303	7648118.815196	2087.825562	73.71209	13.550687
365886.28233	7648114.777912	2086.291516	78.62244	18.657739
365883.564817	7648110.594645	2084.483246	83.610886	16.540504
365881.051203	7648106.283134	2083.327967	88.601616	11.496942
365880.0061	7648101.508946	2082.47416	93.488856	10.736779
365880.0061	7648096.508946	2081.453236	98.488856	11.783476
365880.426318	7648091.544362	2080.391809	103.471192	12.121785
365881.36329	7648086.634049	2079.309538	108.470101	12.162837
365883.485743	7648082.164433	2078.248038	113.418058	11.86409
365885.165659	7648077.630685	2077.254416	118.253033	12.130981
365885.700761	7648072.659742	2076.134176	123.252693	11.91715
365885.296846	7648067.781809	2075.166332	128.147321	8.305452
365885.0061	7648062.851359	2074.69869	133.086336	5.179113
365885.0061	7648057.851359	2074.265491	138.086336	5.879551
365885.832171	7648053.193529	2073.696679	142.816851	7.915789
365889.367705	7648049.657995	2072.912578	147.816851	8.066576
365893.18692	7648046.443636	2072.280618	152.808695	5.759603
365895.0061	7648042.442267	2071.965761	157.204189	5.475934
365895.0061	7648037.442267	2071.379944	162.204189	7.825802
365895.0061	7648032.442267	2070.591385	167.204189	8.937583
365895.0061	7648027.442267	2069.807312	172.204189	8.75984
365894.651713	7648022.482594	2069.054791	177.176508	8.382118
365893.557791	7648017.603957	2068.337985	182.176284	7.965287
365892.65647	7648012.686742	2067.655754	187.175423	7.416724
365891.971963	7648007.734787	2067.03652	192.174463	7.413902
365891.969831	7648002.739999	2066.355355	197.169251	6.112354
365891.686453	7647997.757244	2065.967222	202.160058	2.578847
