x	y	z	L	slope
365795.0	7649690.0	2471.120117	0.0	22.676668
365793.291269	7649680.220199	2466.97205	9.927954	18.822865
365790.0	7649670.84789	2464.350126	19.861363	19.227595
365784.202522	7649662.933812	2460.086093	29.671735	25.133011
365777.771135	7649655.374332	2455.091778	39.596878	19.146418
365775.0	7649646.11194	2453.283778	49.264923	16.894581
365769.040604	7649638.456945	2449.209135	58.966127	23.94727
365763.897068	7649629.882076	2444.534592	68.965344	23.468473
365760.592201	7649620.594868	2440.588373	78.82305	22.817526
365759.990491	7649610.883283	2436.29381	88.553258	18.115168
365758.329545	7649601.117575	2434.164737	98.459205	13.871458
365753.814042	7649593.167856	2431.589975	107.601842	21.804032
365749.163201	7649584.438622	2426.550561	117.492739	26.588089
365744.759152	7649575.511121	2421.657543	127.447432	23.828246
365736.778625	7649569.757216	2417.80935	137.28594	18.68586
365728.726184	7649564.1079	2415.003545	147.122433	17.484577
365721.592993	7649557.204281	2411.584036	157.049283	18.560749
365713.078229	7649553.173068	2408.507292	166.470105	17.26304
365705.0	7649549.292529	2405.871629	175.432045	15.432133
365699.292529	7649545.0	2404.062085	182.573546	13.106043
365690.964208	7649540.964208	2402.054419	191.828195	14.787494
365682.075436	7649536.602382	2399.005493	201.729498	18.14603
365674.829797	7649529.785327	2395.549072	211.677941	19.094226
365669.347954	7649521.490884	2392.120186	221.620193	20.057226
365663.602467	7649513.419443	2388.302121	231.527705	22.43893
365656.615972	7649506.288419	2383.906314	241.510822	25.009065
365648.928868	7649499.914488	2378.986873	251.49674	23.193584
365641.589784	7649493.207528	2375.368075	261.438846	19.643337
365634.154838	7649486.62291	2371.893468	271.370392	21.367494
365627.770876	7649478.941957	2367.575136	281.357985	21.898897
365621.156123	7649471.448079	2363.860961	291.353642	19.725644
365618.515813	7649462.271132	2360.56741	300.902861	21.495066
365613.725675	7649453.605795	2356.201426	310.804048	20.576979
365608.057232	7649445.596658	2353.166945	320.616159	18.016038
