x	y	z	L	slope
368969.5	7649450.5	1790.285034	0.0	23.288838
368973.417761	7649453.595895	1788.135787	4.993337	30.985323
368977.841248	7649455.5	1784.394685	9.809233	28.462755
368982.841248	7649455.5	1782.814636	14.809233	12.686806
368987.841248	7649455.5	1782.143576	19.809233	6.704828
368992.184901	7649457.48878	1781.665267	24.58653	6.191787
368996.590058	7649459.335887	1781.107092	29.363266	8.70181
369001.570248	7649458.892508	1780.168962	34.363154	10.252331
369006.175747	7649457.22811	1779.317077	39.260178	7.400288
369010.660027	7649455.5	1778.908781	44.065918	5.402313
369015.660027	7649455.5	1778.38979	49.065918	6.597604
369020.660027	7649455.5	1777.752199	54.065918	6.924351
369025.320263	7649454.679737	1777.207942	58.797792	3.12859
369028.855797	7649451.144203	1777.220285	63.797792	2.393107
369033.588959	7649450.5	1776.799363	68.574592	6.348541
369038.588959	7649450.5	1776.132564	73.574592	8.295474
369043.191202	7649452.259152	1775.352015	78.501584	7.966268
369045.404523	7649455.729023	1774.867166	82.617261	6.878892
369050.253267	7649456.949437	1774.252341	87.617234	3.938455
369054.521554	7649455.729301	1774.217318	92.056491	1.340084
369057.850116	7649452.149884	1774.034156	96.944389	3.972498
369061.38565	7649452.38565	1773.631829	100.487775	5.658249
369065.095644	7649455.5	1773.203191	105.331661	5.03436
369070.095644	7649455.5	1772.764678	110.331661	4.951045
369075.095644	7649455.5	1772.336939	115.331661	3.375427
369079.921184	7649455.078816	1772.184097	120.175547	1.794908
369083.456718	7649451.543282	1772.028468	125.175547	6.158657
369085.909437	7649447.269501	1771.112896	130.103127	14.282488
369088.735709	7649443.153621	1769.503095	135.09595	15.04666
369090.776356	7649438.892731	1768.500786	139.820293	10.802306
369093.863305	7649434.959518	1767.647739	144.820236	9.184565
369094.5	7649430.203883	1766.916611	149.618303	8.252934
369094.679468	7649425.264465	1766.234931	154.56098	10.857399
369097.709824	7649421.287413	1765.009677	159.56098	12.962924
369100.45705	7649417.34035	1763.977097	164.369988	11.62289
369102.799219	7649412.953925	1762.997795	169.34256	10.67294
369104.557003	7649408.56612	1762.149181	174.06936	7.833918
369105.903348	7649404.096652	1761.705261	178.737207	6.478693
369109.438882	7649400.561118	1761.051343	183.737207	3.548443
369112.974416	7649397.025584	1761.085166	188.737207	2.029426
369116.50995	7649393.49005	1760.697004	193.737207	6.83941
369120.271431	7649390.5	1759.909171	198.542323	11.697832
369124.5	7649389.728569	1758.812181	202.840683	10.451
369124.5	7649384.728569	1758.194097	207.840683	5.437488
369125.045484	7649379.954516	1757.878879	212.645799	5.277163
369128.581018	7649376.418982	1757.288473	217.645799	7.609174
369133.200363	7649375.5	1756.581762	222.355669	6.604888
369137.116552	7649372.883448	1756.197789	227.065539	4.967555
369141.129295	7649370.5	1755.766748	231.732758	7.377214
369144.952495	7649368.9348	1755.058668	235.863945	8.645014
369147.37003	7649365.5	1754.500074	240.064222	8.464629
369151.529418	7649363.470582	1753.744873	244.692293	10.045321
369155.298962	7649360.5	1752.830125	249.49165	12.614931
369159.5	7649359.701038	1751.713794	253.767987	9.719337
369159.5	7649354.701038	1751.241317	258.767987	5.103087
369160.064952	7649349.935048	1750.838718	263.567344	5.765929
369163.600485	7649346.399515	1750.251851	268.567344	6.230895
369168.227894	7649345.5	1749.778169	273.28137	6.273404
369172.136019	7649342.863981	1749.215444	277.995396	7.398989
369175.490131	7649339.171574	1748.518258	282.983775	9.031097
369178.418243	7649335.121231	1747.628262	287.981686	8.76532
369180.320409	7649330.548381	1746.984035	292.934383	6.965505
369183.225439	7649326.486762	1746.413126	297.927972	6.735946
369187.726935	7649325.069483	1745.836884	302.647311	7.939176
369192.688497	7649324.45155	1745.057738	307.647205	3.599031
369194.595454	7649320.748247	1745.260423	311.81265	4.132847
369199.354874	7649320.5	1744.412404	316.57854	9.105758
369202.932914	7649317.067086	1743.701863	321.537095	7.689154
369207.261317	7649315.146866	1743.103662	326.272316	6.235511
369212.012873	7649315.5	1742.663919	331.036976	5.857459
369216.276869	7649317.276869	1742.140982	335.656384	6.499227
369219.812403	7649320.812403	1741.56809	340.656384	4.368043
369223.347937	7649324.347937	1741.377157	345.656384	2.896321
369227.870737	7649325.5	1741.079006	350.323607	4.809029
369232.870737	7649325.5	1740.563868	355.323607	6.463107
369236.883471	7649323.116529	1739.983903	359.99083	7.379185
369240.799669	7649320.5	1739.349497	364.700695	8.228881
369245.799669	7649320.5	1738.579736	369.700695	8.273013
369250.797737	7649320.570849	1737.895716	374.699265	8.712328
369255.78456	7649320.913499	1737.047801	379.697846	11.095923
369260.524096	7649322.188967	1735.952882	384.606004	13.638382
369265.24478	7649323.313409	1734.679537	389.458759	13.114019
369269.612587	7649321.388573	1733.710455	394.231885	13.86271
369273.963936	7649319.02585	1732.279742	399.183319	13.306742
369278.598581	7649317.758198	1731.403018	403.988199	10.213196
369283.552096	7649317.628838	1730.521357	408.943404	9.805268
369288.353865	7649317.956694	1729.714891	413.756352	10.79146
369292.695674	7649317.304326	1728.767172	418.146897	13.606102
369294.5	7649313.051703	1727.534167	422.766464	12.78586
369295.95888	7649308.533829	1726.641504	427.514044	10.656637
369299.432195	7649305.5	1725.773095	432.125773	8.581682
369302.987589	7649302.012411	1725.194015	437.106144	6.32257
369306.523123	7649298.476877	1724.667305	442.106144	6.553528
369310.235585	7649295.211714	1724.051655	447.050198	10.35003
369314.559905	7649292.972285	1722.875029	451.919981	11.03696
369317.541664	7649290.5	1722.346354	455.793361	5.581924
369319.644034	7649287.461749	1722.135403	459.488078	3.964088
369322.773083	7649285.5	1721.834412	463.181235	4.811664
369327.773083	7649285.5	1721.403658	468.181235	4.081092
369331.814419	7649287.814419	1721.145403	472.838373	3.707912
369335.349953	7649289.650047	1720.843701	476.82203	5.917004
369338.885487	7649286.114513	1720.214366	481.82203	12.652456
369343.48842	7649284.424991	1718.620617	486.725241	14.693077
369345.332945	7649280.5	1717.791562	491.06204	10.426631
369350.332945	7649280.5	1716.902559	496.06204	7.723016
369355.332945	7649280.5	1716.435459	501.06204	6.692891
369360.292943	7649280.244973	1715.733047	506.02859	7.905052
369365.069573	7649278.778722	1715.052103	511.025197	6.717181
369369.664816	7649279.672671	1714.593236	515.706586	6.248626
369374.508704	7649280.5	1714.001497	520.620619	6.525754
