x	y	z	L	slope
367699.5	7650255.5	2287.517578	0.0	19.983136
367704.132418	7650257.377927	2285.699964	4.99859	23.117265
367708.848257	7650259.034457	2283.250113	9.996913	25.035253
367713.51787	7650260.5	2281.079752	14.891104	21.562702
367718.51787	7650260.5	2279.340301	19.891104	19.65388
367723.51787	7650260.5	2277.508427	24.891104	19.766607
367728.393855	7650259.509458	2275.755552	29.866685	19.616094
367733.297123	7650258.549162	2273.954514	34.863103	18.549538
367738.222087	7650257.879106	2272.411243	39.833441	15.654327
367743.120775	7650258.505032	2271.177869	44.771955	19.462255
367747.860795	7650260.059977	2268.903355	49.760507	23.686684
367752.803432	7650260.5	2266.812704	54.722691	21.083176
367757.70326	7650261.307335	2265.075901	59.688585	20.13631
367762.442599	7650262.87598	2263.161521	64.680777	18.974982
367766.879566	7650265.141306	2261.646558	69.662582	16.757614
367771.719943	7650264.827138	2260.200982	74.513144	18.822129
367776.614911	7650263.953821	2258.298468	79.485407	23.332491
367781.323243	7650262.293185	2255.902874	84.478011	29.174238
367786.094496	7650260.799251	2252.720066	89.477681	30.628447
367790.834526	7650259.347932	2250.007913	94.434919	26.89469
367795.073935	7650256.715594	2247.674791	99.425088	25.985681
367799.907866	7650255.464735	2245.141976	104.418237	26.815094
367804.496845	7650253.496864	2242.627234	109.411357	25.59881
367809.384523	7650252.516495	2240.361665	114.396386	25.197131
367814.348833	7650251.920253	2237.92941	119.396375	26.467572
367819.320997	7650251.393986	2235.383121	124.396311	27.716705
367824.316709	7650251.366535	2232.678001	129.392099	28.302911
367829.312476	7650251.514222	2230.001581	134.390049	28.564302
367834.304166	7650251.770815	2227.236147	139.388329	28.825086
367839.301212	7650251.914527	2224.499959	144.387441	26.397935
367844.292295	7650252.152159	2222.274783	149.384178	20.805553
367849.214587	7650252.922707	2220.708318	154.366417	18.287635
367853.983832	7650254.255392	2218.991848	159.318361	21.534136
367858.977107	7650254.011695	2216.781728	164.317578	25.025672
367863.968081	7650253.744954	2214.324726	169.315675	25.494811
367868.947412	7650253.51741	2212.021531	174.300203	24.784887
367873.943821	7650253.599395	2209.715924	179.297284	25.424617
367878.868897	7650254.051664	2207.295228	184.243083	27.372002
367883.697134	7650255.350458	2204.566919	189.242957	30.488665
367888.668973	7650255.549453	2201.421964	194.218776	31.757888
367893.668872	7650255.517687	2198.392021	199.218776	30.722924
367898.665959	7650255.5	2195.480912	204.215894	30.63831
367903.665959	7650255.5	2192.470929	209.215894	31.15791
367908.191592	7650253.569362	2189.483177	214.13613	30.213705
367912.809079	7650251.698103	2186.70458	219.118378	29.646239
367917.652211	7650250.467289	2183.803673	224.11546	28.33333
367921.756227	7650247.66734	2181.331556	229.083624	24.472213
367925.621557	7650244.544796	2179.281012	234.052634	22.232863
367929.428103	7650241.302851	2177.25674	239.052634	24.762666
367933.535469	7650238.453189	2174.668836	244.051737	26.963241
367938.03527	7650236.383536	2172.194131	249.004683	25.882503
367942.893844	7650235.348455	2169.85558	253.972292	29.322018
367947.182598	7650232.794843	2166.600545	258.963719	34.258349
367951.776232	7650230.824612	2163.051925	263.962047	33.132031
367955.999185	7650228.177833	2160.085532	268.945899	29.288623
367960.180354	7650225.44739	2157.455562	273.939643	28.093241
367964.579934	7650223.082111	2154.753695	278.934726	28.532875
367969.275764	7650221.365138	2152.021502	283.934607	26.086655
367974.225502	7650221.030352	2149.876929	288.895654	20.985717
367979.224602	7650220.986974	2148.201059	293.894943	18.728153
367984.160005	7650221.764788	2146.488235	298.891261	19.327877
367989.093697	7650222.498812	2144.699259	303.879258	21.26688
367994.091231	7650222.480949	2142.601801	308.876824	25.71017
367999.089252	7650222.342394	2139.885761	313.876764	28.603272
368004.0755	7650222.568032	2137.153822	318.868115	27.361313
368008.984412	7650223.446256	2134.722275	323.854967	23.668968
368013.367407	7650225.807676	2132.785854	328.833616	22.444302
368017.110174	7650229.121347	2130.600944	333.832488	25.943997
368021.272656	7650231.589782	2127.999487	338.671851	26.84493
368025.675538	7650233.867067	2125.642992	343.628806	29.401961
368030.615621	7650233.291933	2122.403742	348.602255	32.580827
368035.596159	7650233.350854	2119.281856	353.583141	29.027383
368040.496818	7650234.289995	2116.870845	358.572975	24.171514
368045.333842	7650235.483725	2114.806377	363.555123	21.472447
368050.301071	7650236.034149	2112.945376	368.552755	18.999955
368054.643994	7650235.356006	2111.572156	372.948306	14.129094
368058.179528	7650231.820472	2110.580377	377.948306	10.324459
368061.067207	7650227.787646	2109.757765	382.908383	6.804787
368064.706556	7650225.5	2109.475591	387.20701	4.654246
368069.706556	7650225.5	2109.000777	392.20701	5.760761
368074.706556	7650225.5	2108.466777	397.20701	7.276901
368079.706298	7650225.489673	2107.723914	402.206762	8.096737
368084.698591	7650225.223634	2107.044314	407.206139	6.27782
368089.493109	7650224.149548	2106.633455	412.119495	4.532114
368092.644242	7650220.37157	2106.264918	417.039125	6.615523
368096.978821	7650218.021179	2105.491049	421.969937	11.901124
368100.493689	7650214.465393	2104.172072	426.969729	16.53786
368103.976122	7650210.877614	2102.521895	431.969678	20.029852
368107.278925	7650207.12586	2100.52718	436.968095	23.623124
368110.902237	7650203.704158	2098.156198	441.951711	27.444254
368114.58902	7650200.331709	2095.344334	446.948289	28.10666
368118.47394	7650197.184733	2092.817426	451.947894	29.152889
368122.182704	7650193.833869	2089.767662	456.946216	27.784606
368126.007357	7650190.636699	2087.557446	461.93118	26.330602
