x	y	z	L	slope
367090.0	7647600.0	1929.574951	0.0	3.398671
367093.535534	7647596.464466	1929.278022	5.0	4.365169
367095.72399	7647592.161958	1928.824828	9.827102	10.380418
367097.41348	7647587.572883	1927.498051	14.717295	13.581897
367100.328893	7647583.749409	1926.48186	19.525474	10.645071
367102.460038	7647579.31267	1925.669222	24.44751	8.597842
367105.417953	7647575.445463	1925.001567	29.316242	7.50549
367107.191031	7647570.772174	1924.369274	34.314585	4.77793
367110.891094	7647567.770378	1924.185563	39.079167	2.284162
367115.400895	7647569.210424	1923.990407	43.813302	4.595403
367120.122639	7647569.877361	1923.42178	48.581915	6.807577
367123.658172	7647566.341828	1922.824295	53.581915	5.92574
367125.133918	7647561.900522	1922.417077	58.261981	4.104966
367127.192063	7647557.807937	1922.159669	62.842944	3.468707
367131.000905	7647554.761287	1921.843778	67.720377	3.818795
367135.886251	7647553.748358	1921.501093	72.709628	6.010998
367139.535482	7647550.464518	1920.801516	77.618853	8.63951
367143.650731	7647547.661551	1919.998687	82.597999	10.273944
367148.463054	7647546.752955	1919.011347	87.495346	17.388846
367150.727453	7647542.921471	1917.071311	91.945938	17.808585
367153.148716	7647538.707122	1916.020477	96.806314	9.604281
367155.364998	7647534.635002	1915.464409	101.442483	5.340813
367158.900532	7647531.099468	1915.11966	106.442483	3.659417
367162.436065	7647527.563935	1914.824869	111.442483	4.580622
367166.358961	7647524.796932	1914.334485	116.243046	9.118446
367170.0	7647522.793344	1913.387361	120.39895	8.964284
367171.560341	7647518.439659	1912.949402	125.0238	5.997388
367175.135588	7647515.0	1912.380297	129.985014	7.946038
367180.077541	7647514.888773	1911.566979	134.928219	8.446186
367182.936994	7647510.787124	1910.903866	139.928219	7.794753
367185.935361	7647507.65333	1910.288858	144.265368	7.393735
367189.136617	7647505.0	1909.801528	148.423276	5.0399
367194.136617	7647505.0	1909.481242	153.423276	2.170529
367197.92503	7647507.92503	1909.430631	158.209493	1.346775
367201.460564	7647508.539436	1909.284358	161.798016	3.283723
367204.996098	7647505.003902	1908.937882	166.798016	4.837013
367209.09253	7647502.139049	1908.438254	171.79683	4.737816
367212.926196	7647500.0	1908.159761	176.186878	3.67365
367217.926196	7647500.0	1907.835381	181.186878	3.153094
367222.069133	7647502.069133	1907.629235	185.817779	2.491258
367225.604667	7647504.395333	1907.449778	190.049942	2.571302
367229.140201	7647500.859799	1907.214651	195.049942	3.379731
367230.0	7647496.21594	1906.875606	199.772726	5.237663
367230.0	7647491.21594	1906.32339	204.772726	6.587072
367230.0	7647486.21594	1905.720888	209.772726	5.184857
367232.675735	7647482.324265	1905.441164	214.495509	4.636617
367233.788732	7647478.788732	1905.037275	218.202093	8.128931
367230.253198	7647475.253198	1904.197586	223.202093	9.271676
367225.861442	7647473.56686	1903.453094	227.90648	3.101213
367221.135091	7647472.9218	1903.684276	232.676647	-3.61901
367220.917869	7647469.082131	1903.998019	236.522456	4.80384
367224.453403	7647465.546597	1902.940898	241.522456	13.310117
367225.0	7647460.773005	1901.678509	246.32724	10.995762
367225.0	7647455.773005	1901.035851	251.32724	2.04982
367225.0	7647450.773005	1901.320606	256.32724	3.643125
367227.988937	7647447.011063	1900.411595	261.132024	11.553152
367231.668305	7647443.634431	1899.317626	266.12596	8.073867
367235.420095	7647445.0	1899.136844	270.118541	5.40306
367240.297052	7647444.702948	1898.4779	275.004537	7.374126
367243.832586	7647441.167414	1897.857455	280.004537	6.080716
367248.349027	7647440.0	1897.448343	284.669416	4.936902
367252.36812	7647437.63188	1897.051583	289.334295	6.557391
367255.512636	7647433.829366	1896.344949	294.268573	9.760412
367255.220486	7647429.756593	1895.50045	298.35181	12.065834
367258.577233	7647426.050888	1894.403395	303.35181	10.6787
367260.0	7647421.506282	1893.659694	308.113922	1.144578
367260.0	7647416.506282	1894.208361	313.113922	-5.227349
367262.470432	7647412.529568	1894.545421	317.795512	0.481438
367266.42265	7647410.0	1894.129594	322.487926	10.886732
367271.42265	7647410.0	1892.681341	327.487926	12.564295
367276.42265	7647410.0	1891.90094	332.487926	8.171071
367280.712453	7647408.7686	1891.322613	336.950968	4.433175
367283.538949	7647405.0	1891.18973	341.661747	5.413907
367287.502415	7647402.497585	1890.431954	346.349085	8.201329
