x	y	z	L	slope
369067.6994	7647199.2903	1723.219116	0.0	11.742685
369071.251627	7647195.771539	1722.179812	5.0	10.83078
369075.034381	7647192.517098	1721.307907	9.990051	8.868458
369078.87621	7647189.327133	1720.622099	14.983599	6.468227
369083.138591	7647186.715824	1720.175083	19.982282	4.993076
369087.299449	7647183.962336	1719.749495	24.971714	5.836555
369091.289927	7647180.961795	1719.154729	29.964425	7.855803
369095.30764	7647177.986502	1718.370866	34.963863	9.16452
369099.162246	7647174.810716	1717.542486	39.958221	8.79399
369103.515232	7647172.466576	1716.833435	44.902255	7.056476
369107.49422	7647169.438763	1716.311598	49.902255	6.436031
369111.381346	7647166.295431	1715.70553	54.901284	7.646234
369115.793029	7647164.115082	1714.979867	59.822347	8.361346
369120.621029	7647162.841759	1714.248413	64.815436	6.851934
369125.594557	7647162.601108	1713.781593	69.794783	5.587304
369130.59049	7647162.802617	1713.272191	74.794778	6.229418
369135.589391	7647162.803668	1712.690203	79.793679	6.61124
369140.588722	7647162.885305	1712.113326	84.793677	6.954498
369145.585039	7647163.059767	1711.470532	89.793039	7.384389
369150.575416	7647163.369321	1710.817448	94.793008	7.202334
369155.420526	7647164.499511	1710.210002	99.768188	7.760661
369160.297875	7647165.589863	1709.458344	104.765928	9.630296
369165.22634	7647166.327836	1708.516439	109.749337	10.203245
369170.183531	7647165.687655	1707.661811	114.747694	8.722682
369174.480251	7647163.349533	1706.999088	119.639383	7.280527
369178.498586	7647160.394354	1706.399645	124.627378	6.745921
369181.890588	7647156.725872	1705.818119	129.62372	7.055998
369185.626132	7647153.518411	1705.17182	134.547347	7.264551
369190.037584	7647151.167563	1704.553312	139.546086	5.784099
369194.553998	7647149.2903	1704.170057	144.43711	5.062406
369199.26005	7647148.288349	1703.693824	149.248641	5.538891
369203.348133	7647145.438043	1703.220207	154.232281	6.112269
369206.887962	7647141.906816	1702.624751	159.232276	5.938072
369210.054888	7647138.144691	1702.18869	164.149898	4.289573
369213.871369	7647134.916778	1701.880991	169.148393	3.23457
369218.63219	7647134.2903	1701.63485	173.950256	2.96282
369223.63219	7647134.2903	1701.37369	178.950256	3.818694
369228.63219	7647134.2903	1700.967393	183.950256	5.41886
369233.63219	7647134.2903	1700.425118	188.950256	6.085047
369238.631811	7647134.316905	1699.901406	193.949948	5.577031
369243.628774	7647134.483661	1699.448741	198.949692	4.986919
369248.250878	7647135.569292	1699.050866	203.697581	5.157952
369251.487329	7647139.2903	1698.575028	208.629164	4.281946
369255.37787	7647141.96877	1698.327985	213.352565	2.610439
369259.416261	7647144.2903	1698.147315	218.010687	1.318401
369263.913404	7647145.504304	1698.113582	222.668809	0.802277
369267.448938	7647149.039838	1698.012074	227.668809	3.429892
369272.217614	7647150.335192	1697.517762	232.610288	9.647513
369276.753919	7647152.435139	1696.322375	237.609072	13.622632
369281.443682	7647154.119607	1695.09879	242.592175	11.601154
369286.416559	7647154.132327	1694.278556	247.565067	8.669441
369291.413613	7647153.962556	1693.578221	252.565005	8.026664
369296.396937	7647154.195989	1692.870033	257.553793	7.438067
369301.38365	7647154.470075	1692.274946	262.548033	5.714467
369306.371415	7647154.81459	1691.869991	267.547682	5.049128
369310.386563	7647157.562007	1691.403389	272.412835	5.768933
369314.72831	7647159.328308	1690.904952	277.100114	6.754894
369319.727667	7647159.406194	1690.256024	282.100077	8.877507
369324.671695	7647158.952877	1689.348571	287.064844	10.567651
369329.494121	7647157.668957	1688.398835	292.055259	8.715227
369334.302055	7647156.313682	1687.817872	297.050557	5.732003
369339.218951	7647155.88856	1687.402063	301.985797	4.341223
369343.669219	7647158.141393	1687.064582	306.973797	4.58593
369347.410407	7647161.444411	1686.601691	311.964429	6.415705
369351.158688	7647164.659191	1685.948178	316.902488	7.574946
369355.692529	7647166.759236	1685.280587	321.899077	6.408597
369360.209563	7647168.89388	1684.825842	326.895105	4.731158
369365.045311	7647169.859164	1684.459013	331.826255	4.852531
369369.9362	7647170.883616	1683.983007	336.823283	6.753833
369374.828399	7647171.911618	1683.275258	341.822324	8.092096
369379.645896	7647173.244455	1682.5616	346.820796	7.897915
369384.483488	7647174.474444	1681.889445	351.812306	8.190271
369389.426429	7647175.224512	1681.123644	356.811833	9.42996
369394.38658	7647175.854272	1680.228716	361.811803	10.447886
369399.361503	7647176.348628	1679.279827	366.811227	11.117235
369404.35955	7647176.434516	1678.264081	371.810012	12.781603
369409.328201	7647175.961279	1677.013615	376.801148	15.996043
369414.238662	7647175.020852	1675.40009	381.800852	18.535653
369419.1764	7647174.256855	1673.662122	386.797345	19.277489
369424.155242	7647173.797735	1671.9039	391.797311	18.70056
369429.141859	7647173.538484	1670.279569	396.790663	16.562995
369434.141427	7647173.604151	1668.931872	401.790662	14.312514
369439.140119	7647173.699305	1667.728457	406.790259	13.821964
369444.140051	7647173.725222	1666.471746	411.790259	14.855646
369449.124681	7647173.499359	1665.078752	416.780003	16.176483
369454.062499	7647172.713452	1663.574001	421.779973	16.337797
369458.981225	7647171.827862	1662.148126	426.777786	13.876588
369463.832055	7647170.656193	1661.106593	431.768113	9.606789
369468.56797	7647169.105642	1660.460052	436.751394	6.817676
369473.43371	7647168.012507	1659.914623	441.738414	5.950325
369478.275459	7647166.787523	1659.419751	446.732724	5.217824
369483.11934	7647165.551397	1659.002042	451.731842	5.291652
369487.968314	7647164.406347	1658.495294	456.71418	6.366476
369492.780282	7647163.052474	1657.888424	461.71298	6.455093
369497.649457	7647162.051336	1657.367324	466.684011	5.576523
369502.595275	7647162.394461	1656.919039	471.641717	6.627117
369507.543138	7647163.108422	1656.21054	476.640826	10.067773
369512.530043	7647163.403174	1655.144562	481.636434	12.82562
369517.525789	7647163.522166	1653.935607	486.633597	13.85934
369522.492024	7647162.953094	1652.67843	491.632331	14.593556
369527.452033	7647162.326008	1651.332546	496.631823	15.46773
369532.36752	7647161.428192	1649.912358	501.628631	16.441627
369537.215228	7647160.219015	1648.383634	506.624867	17.98911
369542.082088	7647159.1016	1646.6687	511.618357	18.77412
369547.031257	7647158.390957	1644.986741	516.618285	17.008695
369551.937702	7647157.434045	1643.610192	521.617174	13.798096
369556.805257	7647156.293507	1642.531355	526.616566	12.074563
369561.659204	7647155.094182	1641.471233	531.616484	12.445624
369566.562048	7647154.201282	1640.328093	536.599972	13.654211
369571.435546	7647153.159988	1639.050055	541.583472	14.871307
369576.264657	7647151.86781	1637.677388	546.582475	16.075821
369581.026239	7647150.342281	1636.168654	551.582466	16.602463
369585.583573	7647148.324154	1634.700601	556.566654	15.379164
369590.200701	7647146.410641	1633.423108	561.564594	12.280936
369594.986655	7647144.964147	1632.524298	566.564364	10.079236
369599.882143	7647144.210366	1631.653992	571.517543	9.678131
369604.877135	7647143.990592	1630.826961	576.517368	8.571012
369609.709825	7647142.962029	1630.155782	581.458302	6.607537
369614.395889	7647141.22025	1629.675545	586.457601	3.915102
369617.750583	7647144.341483	1629.500067	591.039748	2.733963
369621.286117	7647147.877017	1629.217984	596.039748	3.153045
369623.044999	7647152.271652	1628.963894	600.773297	3.278535
369626.305043	7647154.2903	1628.727192	604.607723	2.177102
369631.305043	7647154.2903	1628.628055	609.607723	2.561449
369635.933137	7647155.885168	1628.284539	614.502911	5.122441
369640.526914	7647157.846899	1627.741491	619.498025	6.658198
369645.148852	7647159.2903	1627.136244	624.340103	6.089031
369650.148852	7647159.2903	1626.691613	629.340103	5.134809
369655.145097	7647159.154735	1626.237843	634.338187	6.130725
369660.138754	7647158.904406	1625.617743	639.338114	8.431876
369664.931067	7647157.850056	1624.769338	644.245041	11.085399
369669.435972	7647155.686559	1623.677254	649.242528	14.010287
369673.732017	7647153.167625	1622.279828	654.222592	14.610741
369677.75776	7647150.202565	1621.075771	659.22241	11.996521
369682.35912	7647148.577884	1620.180549	664.102175	9.651079
369687.238617	7647149.2903	1619.407418	669.033405	8.71492
369692.238617	7647149.2903	1618.658256	674.033405	8.758832
369696.936036	7647150.919841	1617.871047	679.005442	8.592346
369701.414156	7647153.108311	1617.153911	683.989712	8.517595
369705.778978	7647155.515045	1616.378137	688.974092	9.120568
369710.051427	7647158.103863	1615.551754	693.96967	9.655327
369714.327041	7647160.557578	1614.689599	698.899335	10.56662
369718.375773	7647163.487272	1613.699971	703.896867	12.861273
369722.890572	7647165.571326	1612.413296	708.869461	15.054686
369727.506051	7647167.493889	1611.017731	713.869351	14.814441
369732.099073	7647169.425972	1609.773132	718.852202	13.81862
369736.597722	7647171.554245	1608.568077	723.828886	13.250558
369740.730392	7647174.343447	1607.427238	728.814727	12.548465
369745.370972	7647176.204895	1606.345475	733.814724	12.603913
369749.892047	7647178.338766	1605.191469	738.814076	13.293794
369754.654682	7647179.596118	1604.000472	743.739889	13.652819
369759.590194	7647180.395815	1602.780578	748.739768	13.605082
369764.354335	7647181.841571	1601.585542	753.718448	13.549275
369768.572262	7647184.439889	1600.386988	758.672452	13.994306
369773.117389	7647186.516349	1599.105608	763.669438	13.284722
369777.389387	7647189.114075	1598.026731	768.669253	10.795573
369782.339421	7647189.2903	1597.207829	773.622422	9.546745
369787.339421	7647189.2903	1596.352843	778.622422	9.978917
369792.3382	7647189.183857	1595.448421	783.622335	10.05782
369797.336931	7647189.071245	1594.579235	788.622335	9.464549
369802.291554	7647188.4132	1593.781717	793.620465	8.869866
369807.249254	7647187.765436	1593.019029	798.620304	8.907912
369812.237058	7647187.541081	1592.215537	803.613151	9.482331
369817.236939	7647187.568033	1591.350025	808.613105	10.185762
