x	y	z	L	slope
366140.0	7648491.0	2121.814209	0.0	6.134861
366144.975631	7648490.506953	2121.276802	5.0	6.814871
366149.881091	7648490.580127	2120.630417	9.906005	10.195594
366154.761246	7648491.539204	2119.500035	14.87951	15.511421
366159.722251	7648492.161974	2117.862481	19.879451	17.781027
366164.68432	7648492.4237	2116.303111	24.848418	14.450634
366169.456976	7648491.599999	2115.333973	29.691632	8.038803
366173.124786	7648488.2108	2114.913835	34.685579	5.22833
366177.155644	7648485.435643	2114.429215	39.579382	7.254154
366181.923076	7648483.933165	2113.654673	44.577966	9.996913
366186.372359	7648481.692464	2112.670037	49.559619	11.836178
366190.981817	7648480.041815	2111.584657	54.455714	11.16941
366194.644619	7648476.638304	2110.716107	59.455714	9.026155
366198.74135	7648473.864084	2110.004492	64.40339	7.007277
366202.798051	7648470.995554	2109.49732	69.37182	6.1079
366207.795661	7648470.841832	2108.937818	74.371794	6.370234
366212.775353	7648470.959221	2108.383049	79.352869	5.509372
366217.759411	7648471.0	2107.976652	84.337094	3.906494
366222.220522	7648469.361821	2107.718185	89.089477	2.828338
366226.32301	7648467.32301	2107.515552	93.670651	1.298183
366229.858544	7648470.858544	2107.501068	98.670651	0.775503
366234.794186	7648471.224233	2107.380885	103.619822	1.68586
366238.507184	7648474.507184	2107.209538	108.576043	1.989759
366241.481107	7648478.480266	2107.036289	113.538863	2.148712
366245.071643	7648481.777537	2106.840443	118.413692	2.921796
366249.579485	7648483.92892	2106.532561	123.408598	3.691024
366254.006211	7648486.0	2106.202966	128.295854	3.63049
366259.006211	7648486.0	2105.905243	133.295854	3.988571
366264.006211	7648486.0	2105.505723	138.295854	5.907606
366269.006211	7648486.0	2104.870533	143.295854	8.413232
366274.006211	7648486.0	2104.026736	148.295854	9.508598
366279.006211	7648486.0	2103.195614	153.295854	8.069969
366283.638621	7648484.323646	2102.61935	158.222251	5.839146
366288.153421	7648482.181106	2102.180772	163.21964	4.246237
366292.839463	7648481.0	2101.889527	168.052237	2.84172
366297.839463	7648481.0	2101.692716	173.052237	3.110674
366302.6502	7648482.019308	2101.350575	177.969775	5.125051
366307.417427	7648483.487262	2100.80432	182.957896	7.993655
366312.350618	7648484.298796	2099.948077	187.957392	10.420186
366317.332609	7648484.37062	2098.968699	192.9399	11.592087
366322.305893	7648483.859025	2097.900557	197.939429	13.050473
366327.291105	7648483.475232	2096.650925	202.939393	14.313747
366332.290228	7648483.496753	2095.349334	207.938562	13.270442
366337.26424	7648483.993473	2094.293034	212.937314	11.156363
366342.205428	7648484.757397	2093.377521	217.937206	10.11636
366347.05139	7648485.932999	2092.511295	222.923727	8.436574
366352.040251	7648486.0	2091.897955	227.913038	6.96997
366357.040251	7648486.0	2091.290112	232.913038	7.252511
366362.040251	7648486.0	2090.625387	237.913038	7.297278
366367.040251	7648486.0	2090.009604	242.913038	5.745513
366371.442676	7648484.557324	2089.656208	247.545818	2.890282
366374.978209	7648481.021791	2089.52328	252.545818	3.026772
366379.969184	7648481.0	2089.127935	257.53684	4.096298
366383.513743	7648477.486257	2088.808428	262.527861	5.093182
366387.861209	7648475.538963	2088.258549	267.291517	8.087909
366390.668519	7648472.220279	2087.513818	271.638315	10.623688
