x	y	z	L	slope
367819.5	7650380.5	2232.977539	0.0	22.747949
367824.273654	7650381.591176	2230.924423	4.896778	21.65846
367828.988223	7650382.803709	2229.099987	9.764776	20.382168
367833.932428	7650383.21792	2227.272456	14.726301	24.820738
367838.89719	7650382.769422	2224.499842	19.711279	25.095338
367843.674021	7650381.305285	2222.598087	24.707459	19.02658
367848.643793	7650381.309333	2221.063226	29.677233	16.552226
367853.629521	7650381.661036	2219.63567	34.67535	17.130657
367858.591596	7650382.013231	2217.989485	39.649909	21.452615
367863.590315	7650381.903031	2215.716266	44.649842	25.720594
367868.566736	7650382.164698	2213.180624	49.633138	25.466761
367873.468431	7650383.016069	2210.973613	54.608221	25.791449
367878.104606	7650384.886864	2208.36077	59.60762	28.156557
367882.980786	7650385.5	2205.667645	64.522197	28.431536
367887.980786	7650385.5	2202.993112	69.522197	28.193442
367892.932839	7650386.075749	2200.315173	74.507607	28.122436
367897.8433	7650387.014553	2197.656881	79.507005	26.903901
367902.567639	7650388.643105	2195.24295	84.50416	25.792215
367907.440894	7650389.508223	2192.850335	89.453609	26.267103
367912.440894	7650389.50644	2190.3329	94.453609	27.390559
367917.267303	7650388.363193	2187.68984	99.413572	27.769776
367922.118239	7650387.172258	2185.09114	104.408561	29.430762
367926.778481	7650385.385432	2182.056129	109.399613	30.062601
367931.635458	7650384.207075	2179.309676	114.397487	29.377608
367936.457268	7650382.889383	2176.428741	119.396104	29.54235
367941.437809	7650382.510629	2173.646049	124.391026	29.239495
367946.235896	7650381.682162	2170.907202	129.260111	27.353779
367951.079537	7650382.896285	2168.544041	134.253603	29.543881
367955.952345	7650383.999591	2165.24543	139.249755	34.32859
367960.810996	7650384.586176	2161.790505	144.143687	34.736137
367965.555934	7650383.029652	2158.389929	149.137404	33.254025
367969.809346	7650380.497692	2155.270375	154.087386	33.294714
367974.759025	7650380.282659	2151.88555	159.041735	28.838196
367978.728882	7650377.242883	2149.789473	164.041735	21.489194
367983.058828	7650377.734274	2148.201597	168.399475	18.176378
367987.67573	7650379.528249	2146.732543	173.352669	19.395944
367992.426284	7650380.5	2144.750616	178.201592	21.548711
367997.328981	7650381.248332	2142.8594	183.161073	21.371711
368002.192593	7650382.402415	2140.85386	188.159735	23.075474
368007.177331	7650382.538081	2138.605523	193.146319	22.391259
368012.137265	7650381.907784	2136.739677	198.146141	19.69171
368016.783112	7650381.292692	2135.13905	202.832529	17.848675
368021.680066	7650382.261698	2133.623343	207.824436	16.9824
368026.627651	7650382.974082	2132.088094	212.823044	19.040087
368031.125391	7650384.897817	2130.210143	217.714917	25.028172
368036.10315	7650385.367576	2127.469728	222.714793	26.581277
368041.077574	7650385.623214	2125.216348	227.695782	24.232762
