x	y	z	L	slope
367595.0	7648895.0	2042.920044	0.0	18.911565
367598.535534	7648891.464466	2041.207088	5.0	18.939026
367600.357257	7648887.092938	2039.579389	9.73592	17.174693
367600.0	7648882.189505	2038.223952	14.65235	14.252902
367600.0	7648877.189505	2037.06048	19.65235	9.584589
367600.0	7648872.189505	2036.535395	24.65235	7.440279
367601.98732	7648868.01268	2035.803501	29.277856	10.722791
367605.522854	7648864.477146	2034.712726	34.277856	11.41409
367609.058388	7648860.941612	2033.784649	39.277856	10.343926
367613.668359	7648860.0	2032.941367	43.983009	11.989523
367617.114276	7648857.002218	2031.815541	48.550398	14.30668
367620.0	7648853.087217	2030.536341	53.414001	10.363595
367620.0	7648848.087217	2030.011763	58.414001	9.451513
367621.912694	7648844.981489	2029.096818	62.061458	17.521293
367625.0	7648843.039062	2027.708754	65.708989	17.13752
367625.784785	7648838.20295	2026.461401	70.608364	15.924925
367628.656258	7648834.690227	2025.01637	75.145387	14.664312
367630.0	7648830.688944	2024.169706	79.366276	10.833055
367630.0	7648825.688944	2023.251931	84.366276	14.032952
367633.048377	7648821.951623	2021.714661	89.189156	19.186534
367635.0	7648817.760012	2019.964884	93.812838	21.399475
367636.02892	7648813.010309	2017.998317	98.67271	22.238397
367638.408348	7648808.614915	2015.934336	103.670827	15.18982
367640.0	7648804.022108	2015.321676	108.531612	4.87568
367640.782063	7648799.41293	2015.120927	113.206667	8.960073
367644.780781	7648796.411221	2013.796255	118.206667	17.794974
367648.909526	7648793.605374	2011.913939	123.198592	20.011668
367653.257698	7648791.140933	2010.158029	128.196598	16.976525
367657.766633	7648788.98403	2008.862343	133.19487	13.357158
367662.656978	7648788.256096	2007.797319	138.139096	13.625278
367665.752446	7648789.247554	2006.876095	141.389466	16.270832
367669.28798	7648785.71202	2005.389376	146.389466	13.646074
367670.0	7648781.006949	2004.506996	151.148108	15.710015
367672.823514	7648777.176486	2002.712476	155.90675	21.628198
367676.921984	7648775.0	2000.780368	160.547283	20.279355
367680.570624	7648773.164677	1999.488763	164.631519	14.69206
367683.240451	7648770.0	1998.623952	168.771949	13.00223
367687.291345	7648767.708655	1997.458103	173.42598	12.704799
367690.270272	7648763.862278	1996.477964	178.29102	10.653659
367692.385304	7648759.664623	1995.658762	182.991411	9.695696
367695.208682	7648756.421701	1994.940281	187.291179	9.095723
367699.050479	7648755.0	1994.314594	191.387596	8.450349
367704.050479	7648755.0	1993.588911	196.387596	10.393268
367708.900461	7648753.907854	1992.485761	201.359026	14.902457
367713.794208	7648752.930802	1990.937916	206.349356	20.501854
367718.191778	7648750.619825	1988.762313	211.317176	20.957804
367721.196398	7648747.148762	1987.276874	215.908038	17.800258
367724.786494	7648745.0	1985.945054	220.092051	14.731643
367728.181667	7648741.424036	1984.880289	225.023047	12.499826
367731.79788	7648738.20212	1983.778238	229.866366	13.012362
367735.434635	7648734.817182	1982.612943	234.834644	13.851575
367740.171742	7648733.459981	1981.338181	239.76234	15.449252
367744.116153	7648730.883847	1979.949131	244.473481	17.617762
367748.224209	7648728.085987	1978.263832	249.443807	12.391773
367751.640043	7648725.0	1977.845717	254.047201	7.85927
