x	y	z	L	slope
371379.5	7646040.5	1004.849976	0.0	15.364774
371383.787778	7646043.057959	1003.47807	4.992815	18.469701
371387.270826	7646046.621547	1001.518069	9.975864	20.937687
371391.106188	7646049.729921	999.682692	14.912663	20.954544
371395.707366	7646051.557228	997.731715	19.86341	22.431725
371400.594193	7646050.505797	995.575531	24.862068	25.173083
371405.524936	7646051.321575	993.033645	29.85984	25.181634
371409.5	7646053.137324	991.171145	34.229974	20.105303
371411.36487	7646053.63513	990.727474	36.160143	7.284208
371414.900403	7646050.900403	990.353113	40.6299	7.400632
371418.435937	7646054.435937	989.497498	45.6299	8.961658
371422.763697	7646056.750848	988.790685	50.537885	11.503198
371427.514974	7646058.229035	987.486083	55.513794	15.588492
371432.459253	7646057.492997	986.007952	60.512559	16.440786
371437.13203	7646059.226376	984.540388	65.496478	15.925109
371441.77813	7646060.5	983.211385	70.313983	15.779251
371446.689504	7646061.129244	981.779939	75.265502	17.770899
371451.522423	7646062.404406	980.022517	80.263816	21.856891
371456.469629	7646063.09661	977.771355	85.259214	22.107997
371461.356359	7646062.333329	975.984257	90.205195	16.635014
371466.230592	7646062.072057	974.835288	95.086425	13.422976
371470.99935	7646060.570996	973.626238	100.085849	14.913524
371475.986469	7646060.40892	972.174931	105.075601	17.376174
371480.97801	7646060.119264	970.500318	110.075539	18.974217
371485.920705	7646060.354531	968.754596	115.02383	17.239173
371490.897279	7646060.5	967.420059	120.00253	15.204707
371495.805161	7646060.998943	966.060807	124.935708	17.168842
371500.46917	7646062.800573	964.351277	129.935593	17.778101
371504.865483	7646065.154704	962.858701	134.922527	15.981412
371509.733547	7646065.81932	961.516016	139.835749	17.321227
371513.299762	7646069.299762	959.772412	144.818858	20.747259
371517.653663	7646071.480625	957.783834	149.688418	21.468172
371522.238734	7646073.460159	955.893451	154.682557	20.651742
371527.032655	7646073.619315	954.093775	159.47912	22.707513
371531.728524	7646071.977348	951.804689	164.453779	25.963213
371536.546863	7646070.666039	949.240021	169.447368	24.796235
371541.519742	7646070.5	947.199203	174.423018	22.841022
371546.269968	7646071.47292	945.102043	179.271855	22.675048
371550.324869	7646074.271439	943.115077	184.198713	21.321378
371554.531435	7646076.719389	941.279492	189.06571	19.721177
371559.307497	7646078.198508	939.57823	194.065566	18.518264
371563.96371	7646080.018599	937.930381	199.064871	17.904889
371568.589798	7646081.37565	936.405525	203.885895	20.902875
371572.934249	7646083.844202	934.180875	208.882695	27.669574
371577.255094	7646086.228853	931.198012	213.817901	30.374016
371581.674812	7646088.535677	928.366678	218.803415	32.366155
371586.161365	7646090.622476	924.902396	223.751535	33.173652
371591.03002	7646091.719308	921.869681	228.74221	26.91989
371595.777836	7646091.29289	919.947993	233.509136	20.949678
371600.54043	7646090.499235	918.196214	238.337406	22.49037
371605.540319	7646090.5	915.879104	243.337296	26.707411
371610.450019	7646090.076057	913.201583	248.265265	27.373739
371615.047485	7646088.12891	910.74261	253.258067	26.092823
371619.85141	7646086.751164	908.30906	258.255655	23.577458
371624.615504	7646085.5	906.412047	263.181302	23.934854
371629.581674	7646085.581674	903.918257	268.148143	23.868832
371633.117207	7646089.117207	902.001982	273.148143	23.065575
371636.39058	7646092.886273	899.66351	278.140219	24.626332
371640.22512	7646095.5	897.586586	282.780829	24.254408
371645.012737	7646096.012737	895.403337	287.595825	27.017517
371648.548271	7646099.548271	892.581987	292.595825	30.405587
371652.959509	7646101.676391	889.595275	297.49357	28.894803
371657.499548	7646103.499548	887.17887	302.385998	27.196922
371661.582944	7646106.111798	884.59048	307.233469	27.297443
371666.143013	7646108.101225	882.109771	312.208612	25.15884
371669.930312	7646111.217492	879.950265	317.113177	25.535623
371672.556153	7646115.471873	877.378383	322.112657	25.205156
371674.79276	7646119.428715	875.457973	326.657875	21.019109
371677.35275	7646123.58382	873.756731	331.53829	20.174951
371680.806004	7646127.194577	871.829086	336.534541	21.480384
371684.414484	7646130.646471	869.825676	341.528207	20.462201
371688.05866	7646134.05866	868.103113	346.520507	18.88695
371691.056974	7646138.019352	866.418285	351.488098	16.122377
371694.649483	7646140.537001	865.39921	355.874974	9.255509
371699.621324	7646140.724226	864.892669	360.850339	11.369275
371703.197947	7646144.197947	863.396291	365.836216	18.459836
371707.483344	7646146.53756	861.598564	370.718677	19.258965
371711.191865	7646149.74239	859.977993	375.620111	17.390559
371715.83344	7646150.576771	858.586486	380.336085	17.284445
371720.825892	7646150.850443	856.954808	385.336033	19.996931
371725.672229	7646151.633387	854.980578	390.245206	23.32171
371729.431869	7646154.929613	852.682933	395.245206	22.536761
371734.12831	7646155.5	850.942702	399.976157	19.428369
371739.12831	7646155.5	849.250817	404.976157	20.277736
371742.77271	7646158.77271	847.285739	409.874348	20.601561
371747.057243	7646160.5	845.673132	414.493954	17.933148
371752.057243	7646160.5	844.172642	419.493954	17.756045
371757.026695	7646160.105918	842.47583	424.479008	17.803295
371761.973765	7646159.381842	840.96633	429.478787	16.38116
371766.916316	7646158.654634	839.537646	434.474548	14.675202
371771.561375	7646156.945946	838.361956	439.423911	14.668827
371776.031486	7646155.5	837.012354	444.122065	14.122983
371780.959032	7646155.034518	835.934597	449.071548	9.683665
371785.782085	7646153.851536	835.320428	454.037562	7.685925
371790.747979	7646153.32906	834.590576	459.030865	6.446615
371794.633888	7646150.5	834.213146	463.837513	8.017251
371799.633888	7646150.5	833.209372	468.837513	11.664353
371804.633401	7646150.511411	832.148893	473.837039	14.093495
371809.61464	7646150.942786	830.698978	478.836922	17.291311
371814.288758	7646150.736649	829.136067	483.515584	16.322297
371819.203116	7646150.5	827.88815	488.435636	12.904022
371824.10178	7646151.471043	826.864787	493.429615	11.720224
371829.0264	7646152.300298	825.816135	498.423567	12.593329
371833.389313	7646154.389313	824.668522	503.260818	13.50986
371836.955471	7646157.893831	823.452722	508.260731	12.262531
371840.837618	7646160.850562	822.521209	513.14062	13.18503
371845.732552	7646161.697855	821.14577	518.108344	15.731935
371850.64796	7646160.783431	819.713573	523.108085	16.981842
371855.574128	7646161.057188	818.112329	528.041853	18.840503
371860.42384	7646160.693519	816.370745	532.905182	16.986688
371865.366338	7646160.705422	815.116967	537.847694	12.637555
371870.247664	7646161.763575	814.142743	542.842395	10.685318
371875.12492	7646162.726713	813.236546	547.813839	10.106521
371879.302123	7646165.302123	812.38196	552.721156	8.57363
371884.220159	7646165.5	811.754671	557.643172	8.484805
371889.216304	7646165.690734	810.901872	562.642956	10.047964
371894.198754	7646166.025621	809.983977	567.636647	9.070915
371898.962898	7646167.540854	809.306504	572.635948	8.289201
371903.356962	7646169.885691	808.530037	577.616516	8.911361
371908.175163	7646170.543111	807.763113	582.47936	9.377554
371913.163083	7646170.5	806.903236	587.467467	10.703127
371918.155294	7646170.738751	805.875727	592.465384	13.003879
371923.150579	7646170.942807	804.594519	597.464835	17.07457
371927.353823	7646168.732327	802.881526	602.213885	17.909899
371931.010938	7646165.429761	801.467292	607.141504	16.645375
371935.921656	7646164.5011	799.914174	612.139261	14.468178
371940.120397	7646162.288253	798.953192	616.885429	10.190044
371943.249094	7646162.56041	798.496594	620.02594	9.673601
371947.694768	7646164.322431	797.602748	624.808067	12.609004
371952.614178	7646165.206639	796.308876	629.806309	14.158846
371957.58505	7646165.5	795.085688	634.78583	13.889954
371962.578231	7646165.294996	793.841772	639.783217	14.02271
371967.571756	7646165.050251	792.589047	644.782736	14.648079
