x	y	z	L	slope
366080.0	7651945.0	2234.710938	0.0	31.689317
366078.007337	7651949.585771	2231.624275	5.0	28.753489
366075.74578	7651954.043204	2229.225064	9.998335	22.868179
366073.834955	7651958.645002	2227.414769	14.981085	18.334817
366071.728158	7651963.178227	2225.917332	19.979957	15.67119
366068.885366	7651967.271978	2224.614212	24.963957	15.522345
366065.926097	7651971.249436	2223.156202	29.921522	15.554243
366062.964788	7651975.0	2221.904259	34.700233	10.223357
366058.40358	7651976.262352	2221.440883	39.432902	6.329161
366054.814945	7651979.588171	2220.836671	44.32569	7.225521
366050.484675	7651981.902915	2220.198089	49.235809	7.619421
366045.950075	7651983.965363	2219.513462	54.217405	7.523744
366042.03695	7651987.038662	2218.883025	59.193117	5.806818
366040.0	7651991.071991	2218.547961	63.711624	5.716992
366039.241988	7651995.758012	2217.955463	68.458558	7.288619
366035.706454	7651999.293546	2217.301355	73.458558	8.34717
366032.546229	7652003.159914	2216.489199	78.452135	8.868802
366028.926139	7652006.544729	2215.748888	83.408145	9.491546
366024.851271	7652009.437693	2214.825132	88.405523	11.405452
366020.409358	7652011.697539	2213.735418	93.389245	12.500873
366015.691942	7652013.269333	2212.617826	98.361624	14.083076
366011.452248	7652015.88955	2211.237744	103.345653	16.273641
366007.678724	7652019.151659	2209.70685	108.333723	15.900007
366003.819224	7652022.282879	2208.401218	113.30366	14.438432
366000.091073	7652025.567976	2207.147936	118.272662	13.169518
365995.769011	7652028.080509	2206.068838	123.271965	10.548986
365992.155351	7652031.472469	2205.294042	128.228167	8.217436
365988.773643	7652035.105385	2204.636382	133.191435	8.745728
365986.876563	7652039.730594	2203.761486	138.190582	9.846062
365985.077746	7652044.395812	2202.901002	143.190582	9.506944
365984.60305	7652049.349406	2202.090836	148.166869	8.826969
365985.0	7652054.315634	2201.354614	153.148936	8.21314
365985.0	7652059.315634	2200.650104	158.148936	8.861469
365985.0	7652064.315634	2199.795592	163.148936	11.061523
365985.0	7652069.315634	2198.695214	168.148936	12.654291
365985.0	7652074.315634	2197.550444	173.148936	12.373382
365983.052657	7652078.851306	2196.51554	178.084973	11.002009
365981.202072	7652083.487936	2195.620269	183.077267	10.369772
365980.0	7652088.307523	2194.69311	188.044499	11.878754
365979.924527	7652093.306661	2193.523829	193.044208	13.236921
365979.798222	7652098.305058	2192.340974	198.0442	13.193846
365979.1386	7652103.24962	2191.182284	203.032566	13.165454
365978.218204	7652108.164131	2190.004659	208.03252	13.976255
365976.950477	7652112.998852	2188.69395	213.030686	16.876928
365975.167006	7652117.667991	2186.972034	218.028848	20.424556
365973.30365	7652122.307688	2184.970949	223.028737	20.101741
365971.54593	7652126.987378	2183.312767	228.027644	17.002692
365970.0	7652131.708656	2181.923363	232.995578	16.241165
365970.0	7652136.708656	2180.409137	237.995578	18.122696
365970.0	7652141.708656	2178.650578	242.995578	20.22025
365970.0	7652146.708656	2176.725958	247.995578	20.68759
365969.6581	7652151.6741	2174.883098	252.972779	19.318031
365968.637464	7652156.56873	2173.22861	257.972689	17.296607
365967.283393	7652161.374756	2171.771358	262.965824	14.748766
365965.434386	7652166.015471	2170.599132	267.961329	12.500078
365964.371152	7652170.863542	2169.563599	272.924619	11.221459
365963.728909	7652175.81892	2168.623159	277.921443	9.088645
365964.473345	7652180.738826	2167.968301	282.897352	6.31916
365965.0	7652185.667004	2167.52331	287.85359	5.151347
365965.0	7652190.667004	2167.070763	292.85359	5.797421
365965.0	7652195.667004	2166.508032	297.85359	6.618597
365964.969277	7652200.666296	2165.91054	302.852977	6.59819
365964.734134	7652205.660749	2165.35142	307.852961	6.102103
365964.306727	7652210.633327	2164.842482	312.843874	5.814182
365961.687645	7652214.886557	2164.334626	317.838827	6.198778
365959.724654	7652219.358746	2163.769525	322.722863	6.588643
365958.904336	7652224.285623	2163.193635	327.717564	4.687253
365955.775966	7652227.937187	2162.965784	332.525955	1.332226
365951.652984	7652230.249877	2162.97188	337.25327	-0.122529
365950.0	7652233.783391	2162.984236	341.154306	0.177787
365952.675262	7652237.675262	2162.945122	345.876984	0.52352
365955.0	7652241.712324	2162.898518	350.535554	0.909046
