x	y	z	L	slope
365662.6994	7648909.2903	2221.950928	0.0	16.31911
365667.6994	7648909.2903	2220.487061	5.0	14.817325
365672.698383	7648909.39113	2219.30566	10.0	11.998013
365677.688716	7648909.449107	2218.363905	14.990669	9.987724
365682.268058	7648907.444215	2217.546472	19.989666	9.363228
365686.677684	7648905.091699	2216.715568	24.987579	9.599215
365690.703031	7648902.157696	2215.858833	29.968723	10.608999
365694.723794	7648899.213413	2214.849171	34.952229	12.126103
365699.023456	7648896.68733	2213.716697	39.93903	13.49467
365703.314517	7648894.239226	2212.466938	44.879316	14.770112
365706.98324	7648890.842099	2211.095988	49.879316	14.218599
365710.637825	7648887.486246	2209.942895	54.840943	12.141218
365714.547095	7648884.369826	2208.953088	59.840389	10.573516
365718.864887	7648881.85713	2208.077193	64.836084	9.002868
365722.788254	7648879.055458	2207.397817	69.657098	7.316368
365723.395467	7648874.112451	2206.818825	74.637262	7.841074
365723.466354	7648869.113347	2206.02351	79.636868	8.504627
365723.611233	7648864.117638	2205.32392	84.634677	6.330719
365724.704858	7648859.251263	2204.915708	89.622424	3.372984
365728.069444	7648855.569165	2204.736	94.610238	1.839067
365731.840653	7648852.471603	2204.598866	99.490495	3.773589
365736.404843	7648850.685042	2204.090851	104.391885	8.725224
365741.054971	7648849.057019	2203.090546	109.318766	11.986081
365746.002535	7648848.336392	2201.983461	114.318535	11.60363
365750.583518	7648846.820391	2201.073158	119.143849	8.329708
365754.107377	7648844.2903	2200.641854	123.481931	5.757474
365759.107377	7648844.2903	2200.13166	128.481931	7.029689
365763.958911	7648843.660989	2199.42208	133.374109	10.281195
365768.44243	7648841.448543	2198.337411	138.373795	12.835895
365772.945503	7648839.280097	2197.144147	143.371777	12.84589
365777.717704	7648837.792528	2196.057874	148.370454	10.831015
365781.86225	7648835.12745	2195.245123	153.297918	6.159442
365782.6994	7648830.474209	2195.015907	158.025864	5.182848
365785.401496	7648826.595633	2194.387533	162.752879	8.572497
365788.774072	7648822.917461	2193.551114	167.743192	10.038354
365791.860163	7648818.984206	2192.619227	172.742636	11.132441
365795.17318	7648815.239376	2191.583483	177.74262	12.127232
365798.111333	7648811.219664	2190.475013	182.721659	12.621232
365800.234775	7648806.693891	2189.349276	187.720822	12.142312
365801.764641	7648801.935275	2188.324044	192.719312	11.550046
365803.305856	7648797.189697	2187.308156	197.708887	11.966575
365805.241841	7648792.580706	2186.207043	202.707971	13.469543
365807.968605	7648788.413466	2184.918056	207.688044	14.959915
365811.376463	7648784.754746	2183.540462	212.688017	15.491078
365815.113688	7648781.461116	2182.151721	217.669468	15.976912
365818.404311	7648777.744308	2180.69303	222.633626	16.744735
365820.969632	7648773.452734	2179.153988	227.633473	16.201361
365823.335432	7648769.055005	2177.789469	232.627172	14.177416
365824.375631	7648764.180842	2176.633523	237.611095	12.243455
365825.259795	7648759.261693	2175.623446	242.609072	9.017055
365826.044768	7648754.323739	2175.047003	247.609029	5.450137
365828.421672	7648750.059678	2174.680649	252.49082	5.147014
365832.281939	7648747.226819	2174.176007	257.279009	6.04596
365836.159889	7648744.120454	2173.647275	262.247711	6.523201
365839.015499	7648740.417852	2173.073224	266.923582	6.111124
365841.502653	7648736.09268	2172.6125	271.912875	5.038773
365842.6994	7648731.432078	2172.209081	276.724675	6.933314
365843.854136	7648726.675723	2171.432215	281.619196	11.219289
365845.425794	7648721.95518	2170.251409	286.594498	14.694422
365847.068102	7648717.232778	2168.816408	291.594323	14.124482
365848.145144	7648712.384552	2167.743611	296.560742	10.651677
365850.302209	7648708.184573	2166.994369	301.282262	8.707837
365853.918282	7648704.747945	2166.256435	306.270889	9.611673
365857.70697	7648701.495967	2165.304071	311.263836	10.855389
365861.814236	7648698.791928	2164.35605	316.1813	10.09548
365865.897248	7648696.092452	2163.557108	321.076007	8.30891
365870.116613	7648693.882493	2162.945639	325.83909	7.771851
365874.603645	7648691.89736	2162.237412	330.745638	8.886356
365878.548428	7648688.911126	2161.404968	335.693254	10.187677
365883.151104	7648686.962143	2160.450119	340.69157	11.359971
365887.847935	7648685.249602	2159.396423	345.690872	13.068238
365892.58936	7648683.791231	2158.138258	350.651513	15.89117
365897.486903	7648682.79837	2156.561614	355.648682	16.741883
365901.873014	7648680.572085	2155.155523	360.567454	14.910486
365906.435358	7648679.2903	2153.99007	365.306436	12.079734
365911.435358	7648679.2903	2153.071332	370.306436	6.29424
365915.341121	7648676.648579	2152.918516	375.021696	0.916719
365919.36429	7648674.2903	2152.921268	379.685103	0.395133
365924.36429	7648674.2903	2152.851875	384.685103	0.412738
365929.36429	7648674.2903	2152.849232	389.685103	1.017459
365934.36429	7648674.2903	2152.674281	394.685103	3.142467
365938.876655	7648673.113045	2152.318713	399.348511	4.172654
365942.412189	7648669.577511	2151.969302	404.348511	2.9867
365942.6994	7648664.696478	2151.802744	409.237987	3.173344
365945.943282	7648661.037542	2151.427133	414.127831	3.342179
365949.480427	7648657.509273	2151.225445	419.123837	1.389272
365953.147084	7648654.2903	2151.187647	424.002994	1.900904
365958.147084	7648654.2903	2150.897573	429.002994	2.661682
365963.147084	7648654.2903	2150.722775	434.002994	1.76204
365968.147084	7648654.2903	2150.589951	439.002994	1.410644
365973.015961	7648654.606861	2150.479504	443.88215	1.27215
365976.551495	7648658.142395	2150.370573	448.88215	1.820261
365980.996704	7648658.562753	2150.178712	453.347191	3.7156
365985.902416	7648657.600123	2149.755974	458.346458	4.909533
365989.303673	7648654.53971	2149.356289	462.9219	3.813828
365991.703419	7648650.210871	2149.121037	467.871408	2.846622
365995.532652	7648647.120505	2148.865519	472.792118	1.481192
366000.325487	7648646.071292	2148.866943	477.698452	1.476649
